source_id,title,authors_or_org,date,source_type,url,bestsad_relevance,evidence_weight,notes
S34,Beyond tokens: a unified framework for latent communication in LLM-based multi-agent systems,Yingzhuo Liu,2026-06-04,paper,https://arxiv.org/abs/2606.05711,latent communication survey,medium,Maps latent-channel design space and open problems.
S35,"Latent Communication Between Language Model Agents: Channels, Alignment, and the Limits of Text",Markus Wenzel,2026-05-06,paper,https://arxiv.org/abs/2607.14103,latent communication negative/mixed result,medium,Finds feature retention but no task advantage over text on tested tasks.
S36,Self-Modifying Lean Proof Agents with Verifier-Grounded Benchmark Coevolution,Yuqing Li et al.,2026-07-19,paper,https://arxiv.org/abs/2607.17352,benchmark coevolution,high,Trusted verifier + mutable agent/curriculum with held-out evaluation.
S37,Towards Self-Evolving Benchmarks: Synthesizing Agent Trajectories via Test-Time Exploration under Validate-by-Reproduce Paradigm,Dadi Guo et al.,2025-10-01,paper,https://arxiv.org/abs/2510.00415,self-evolving benchmark,medium-high,Generates harder tasks with reproducible trajectories.
S38,EvilGenie: A Reward Hacking Benchmark,Jonathan Gabor et al.,2025-11-26,paper,https://arxiv.org/abs/2511.21654,reward hacking coding,high,Programming benchmark with explicit exploit opportunities.
S39,Benchmarking Reward Hack Detection in Code Environments via Contrastive Analysis,Darshan Deshpande; Anand Kannappan; Rebecca Qian,2026-01-27,paper,https://arxiv.org/abs/2601.20103,reward-hack detection TRACE,medium-high,Taxonomy and trajectory-based detection.
S40,SpecBench: Measuring Reward Hacking in Long-Horizon Coding Agents,Bingchen Zhao; Dhruv Srikanth; Yuxiang Wu; Zhengyao Jiang,2026-05-20,paper,https://arxiv.org/abs/2605.21384,SpecBench,medium-high,Separate visible validation and stronger spec evaluation.
S41,Reward Hacking Benchmark: Measuring Exploits in LLM Agents with Tool Use,Kunvar Thaman,2026-05-03,paper,https://arxiv.org/abs/2605.02964,multi-step reward hacking,medium-high,Studies multi-step reward hacking and environmental hardening.
S42,Hack-Verifiable Environments: Towards Evaluating Reward Hacking at Scale,Amit Roth; Ankur Samanta; Matan Halevy; Yoav Levine; Yonathan Efroni,2026-05-20,paper,https://arxiv.org/abs/2605.20744,hack-verifiable environments,medium-high,Embeds deterministically verifiable exploit opportunities.
S43,Do Agent Benchmarks Measure Capability? Protocol Validity in the Age of Agentic AI,Jiaqi Shao; Hanck Chen; Wei Zhang; Maxm Pan; Bing Luo,2026-07-24,paper,https://arxiv.org/abs/2607.22368,benchmark protocol audits,medium-high,Audits benchmark exposure/reward-hacking score inflation.
S44,Happy National Navajo Code Talkers Day,"Office of the President and Vice President, Navajo Nation",2025-08-14,official history,https://opvp.navajo-nsn.gov/250814-navajo-code-talkers-day/,name/history attribution,high,Official statement on code developed using Diné Bizaad.
S45,Code Talkers,"National Museum of the American Indian, Smithsonian",current 2026-08-17,official history,https://americanindian.si.edu/why-we-serve/topics/code-talkers/,historical context,high,Authoritative Code Talker historical context.
S46,béésh,Navajo Word of the Day,2012-03-04,lexical teaching source,https://navajowotd.com/word/beesh/,lexical inspiration,medium,Used only to support project-name inspiration; not treated as formal linguistic authority.
S47,bizaad,Navajo Word of the Day,2012-03-13,lexical teaching source,https://navajowotd.com/word/bizaad/,lexical inspiration,medium,Explains saad as words/speech and bizaad as language; naming caveat retained.
S48,Anka: A Domain-Specific Language for Reliable LLM Code Generation,Al Mazrouei,2025-12-30,paper,https://arxiv.org/abs/2512.23214,LLM-native DSL design; canonical form and projection analogue,medium,Closest published hand-designed LLM-oriented DSL. Single-benchmark preprint; authors note possible benchmark bias.
S49,Library Learning Doesn't: The Curious Case of the Single-Use 'Library',"Berlot-Attwell, Rudzicz, Si (Univ. Toronto / Vector Institute)",2024-10-26,paper,https://arxiv.org/abs/2410.20274,Adverse evidence on learned-library benefit,high,Strongest empirical support for H0. Reuse infrequent; gains attributed to self-correction and self-consistency.
S50,LLM Library Learning Fails: A LEGO-Prover Case Study,Berlot-Attwell et al.,2025-04-03,paper,https://arxiv.org/abs/2504.03048,Compute-controlled refutation of library-learning gains,high,Direct justification for compute-matched search-only control (condition I).
S51,AlphaEvolve: A coding agent for scientific and algorithmic discovery,Novikov et al. (Google DeepMind),2025-06-16,paper,https://arxiv.org/abs/2506.13131,Evolutionary code discovery in existing languages,high,Primary rival explanation family. Language fixed; programs evolved.
S52,Magellan: Autonomous Discovery of Novel Compiler Optimization Heuristics,"Chen, Novikov, Vu, Alam, Zhang, Grossman, Trofin, Yazdanbakhsh",2026-01-21,paper,https://arxiv.org/abs/2601.21096,Prior art for compiler policy evolution (H11),medium-high,Recent preprint. Some reported figures criticized for lacking error bars.
S53,Compiler.next: A Search-Based Compiler for the AI-Native Future of Software Engineering,"Cogo, Oliva, Hassan",2025-10-28,paper,https://arxiv.org/abs/2510.24799,Stack co-evolution and intent/implementation separation,medium,Vision paper. Evolves prompts and configuration rather than an executable IR.
S54,SOAR: Self-Improving Language Models for Evolutionary Program Synthesis,SOAR authors,2025-07-18,paper,https://arxiv.org/abs/2507.14172,Model-in-the-loop evolution; compute accounting,high,FLOPs accounting where sampling dominates fine-tuning; used for EXP-001 cost planning.
S55,CodeEvolve / OpenEvolve,CodeEvolve authors; OpenEvolve contributors,2025-10-16,paper,https://arxiv.org/abs/2510.14150,Adoptable evolutionary engine; condition I baseline,medium,Open implementations of evolutionary code search.
S56,IRCoder: Intermediate Representations Make Language Models Robust Multilingual Code Generators,"Paul, Glavas, Gurevych",2024-03-06,paper,https://arxiv.org/abs/2403.03894,Machine-leg evidence: IR grounding improves robustness,high,ACL 2024. Continued pretraining on source-to-IR pairs; consistent multilingual gains.
S57,Meta Large Language Model Compiler,Cummins et al. (Meta),2024-07-03,paper,https://arxiv.org/abs/2407.02524,Foundation models of compiler optimization,high,Machine-leg substrate reference.
S58,Minimum Description Length and Generalization Guarantees for Representation Learning,"Sefidgaran, Zaidi, Krasnowski",2024-02-05,paper,https://arxiv.org/abs/2402.03254,Formal basis for Semantic Gain v2,high,NeurIPS 2023. MDL generalization bounds over solution/label description length.
S59,Investigating Gender Bias in Language Models Using Causal Mediation Analysis,Vig et al.,2020-12-06,paper,https://papers.nips.cc/paper/2020,Causal mediation method for spec Section 42,high,Establishes mediation decomposition with interventions in LM analysis.
S60,A Mechanistic Interpretation of Arithmetic Reasoning in Language Models using Causal Mediation Analysis,Stolfo et al.,2023-05-24,paper,https://arxiv.org/abs/2305.15054,Worked template for per-primitive attribution,high,Applied direct/indirect effect decomposition on reasoning behaviour.
S61,SmoothE: Differentiable E-Graph Extraction,Cai et al.,2025-03-30,paper,https://dl.acm.org/doi/10.1145/3676641.3716267,Partially answers open question 10 (evolvable extraction),high,ASPLOS 2025.
S62,e-boost: Adaptive and Exact E-Graph Extraction,e-boost authors,2025-08-18,paper,https://arxiv.org/abs/2508.13020,Equivalence Engine extraction tooling,medium-high,Extraction quality/cost trade-offs.
S63,eqsat: an equality saturation dialect for extensible compiler IR,EGRAPHS/PLDI 2025 authors,2025-06-01,paper,https://pldi25.sigplan.org/,Removes a large build task in the Equivalence Engine,medium-high,Brings equality saturation into the planned compiler substrate.
S64,LGuess: Equality Saturation Guided by Large Language Models,EGRAPHS 2025 authors,2025-06-01,paper,https://pldi25.sigplan.org/,Hybrid search (H5) and evolvable extraction,medium,Model-guided rewrite selection.
S65,Rewrite System Showdown: Stochastic Search vs. Equality Saturation,Showdown authors,2026-05-19,paper,https://arxiv.org/abs/2605.19005,Prevents assuming e-graph dominance; informs H6,medium,Head-to-head rewriting strategy comparison.
S66,DafnyComp: Local Success Does Not Compose,DafnyComp authors,2025-09-27,paper,https://arxiv.org/abs/2509.23061,Decisive endpoint terrain: verified compositional OOD,high,ICLR 2026. Order-of-magnitude collapse from single-function to compositional verified synthesis.
S67,Gradient-Based Program Synthesis with Neurally Interpreted Languages,NLI authors,2026-04-18,paper,https://arxiv.org/abs/2604.18907,"OOD split design (length, composition, shift)",medium,Compositional generalization splits for synthesis.
S68,Getting the most out of your tokenizer for pre-training and domain adaptation,"Dagan, Synnaeve et al.",2024-02-01,paper,https://arxiv.org/abs/2402.01035,Foundation for H13 and condition F,high,ICML 2024. Tokenizer moves speed/context/memory; downstream code accuracy comparatively insensitive.
S69,Evaluation safety gap / adaptive overfitting in benchmark reuse,EvalSafetyGap authors,2026-06-30,paper,https://arxiv.org/abs/2606.30219,Evaluator access-control policy,medium-high,Separates data contamination from repeated-evaluation overfitting.
S70,Interlat: latent inter-agent communication,Interlat authors,2025-11-12,paper,https://arxiv.org/abs/2511.09149,Bounds on open question 12 (latent channels),medium,Latent-channel communication between models.
S71,Communicating Activations Between Language Model Agents,Activation-communication authors,2025-01-24,paper,https://arxiv.org/abs/2501.14082,Bounds on open question 12,medium,Activation-level inter-agent communication.
S72,Emergent Languages in Populations of Language Model Agents: From Token Efficiency to Oversight Evasion,Emergent-languages authors,2026-05-31,paper,https://arxiv.org/abs/2605.31170,Adverse evidence for H9 and open question 11,medium-high,Token-efficient protocols with poor compositionality; oversight-evasion risk.
S73,Automating application-driven customization of ASIPs: A survey,ASIP survey authors,2024-02-01,paper,https://www.sciencedirect.com/science/article/abs/pii/S1383762124000171,Formalism for open question 19 (new intrinsics),medium,Custom-instruction enumeration plus selection over dataflow graphs.
S74,Ansor: Generating High-Performance Tensor Programs for Deep Learning,Zheng et al.,2020-06-11,paper,https://arxiv.org/abs/2006.06762,Template for Bestsad compute-matching policy,high,Explicit matched measurement-trial fairness protocol.
S75,A Machine Learning Driven Hardware Cost Model for Extensible Compiler IR,MLIR cost model authors,2023-02-22,paper,https://arxiv.org/abs/2302.11405,Machine-fitness cost model term,medium-high,Learned cost modelling at IR level.
S76,Grammar Prompting for Domain-Specific Language Generation with Large Language Models,Wang et al.,2023-05-30,paper,https://arxiv.org/abs/2305.19234,Negative evidence tempering the DSL case; motivates condition G,high,NeurIPS 2023. No gain for pretraining-common DSLs; constrained generation costs.
S77,Learned Graph Rewriting,Learned-rewriting authors,2024-07-17,paper,https://arxiv.org/abs/2407.12794,Evolvable extraction (open question 10),medium,RL-driven rewrite selection over graphs.
